idLU,frameName,luName,origin,status
40320,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED
40264,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED
40321,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED
40265,frm_accoutrements,sombreiro.noun,WEBTOOL,CREATED
38031,frm_addiction,alcoolista.adj,WEBTOOL,CREATED
41402,frm_addiction,alcoolista.adj,WEBTOOL,CREATED
43445,frm_adjusting,adaptar.verb,LOME,PENDING
24849,frm_adjusting,adaptar.verb,WEBTOOL,CREATED
43119,frm_aggregate,colônia.noun,USER,CREATED
22413,frm_aggregate,colônia.noun,WEBTOOL,CREATED
22655,frm_aggregate,multiplicidade.noun,WEBTOOL,CREATED
18945,frm_aggregate,multiplicidade.noun,WEBTOOL,CREATED
51499,frm_animals,cavalo-marinho.noun,FNBK,PENDING
52181,frm_animals,cavalo-marinho.noun,USER,PENDING
40386,frm_architectural_part,torneira.noun,WEBTOOL,CREATED
40387,frm_architectural_part,torneira.noun,WEBTOOL,CREATED
43194,frm_arriving,vê.verb,LOME,PENDING
43187,frm_arriving,vê.verb,LOME,PENDING
32217,frm_artifact,mesa.noun,WEBTOOL,CREATED
32218,frm_artifact,mesa.noun,WEBTOOL,CREATED
40984,"frm_assistive technology",libras.noun,WEBTOOL,CREATED
41011,"frm_assistive technology",libras.noun,WEBTOOL,CREATED
24200,frm_attributes,qualidade.noun,WEBTOOL,CREATED
43535,frm_attributes,qualidade.noun,LOME,PENDING
40599,frm_bedding,fronha.noun,WEBTOOL,CREATED
40691,frm_bedding,fronha.noun,WEBTOOL,CREATED
43830,frm_being_at_risk,insegurança.noun,USER,CREATED
43336,frm_being_at_risk,insegurança.noun,LOME,PENDING
43355,frm_being_at_risk,segurança.noun,LOME,PENDING
26456,frm_being_at_risk,segurança.noun,WEBTOOL,CREATED
35454,frm_body_parts,cintura.noun,WEBTOOL,CREATED
32315,frm_body_parts,cintura.noun,WEBTOOL,CREATED
42610,frm_body_parts,pênis.noun,WEBTOOL,CREATED
52052,frm_body_parts,pênis.noun,FNBK,PENDING
40391,frm_body_parts,tireoide.noun,WEBTOOL,CREATED
35397,frm_body_parts,tireoide.noun,WEBTOOL,CREATED
40365,frm_building_subparts,andar.noun,WEBTOOL,CREATED
22525,frm_building_subparts,andar.noun,WEBTOOL,CREATED
48716,frm_calendric_unit,maio.noun,FNBK,PENDING
28148,frm_calendric_unit,maio.noun,WEBTOOL,CREATED
35768,frm_calendric_unit,quarta-feira.noun,WEBTOOL,CREATED
