video,cosine_COM_SEM,cosine_COM_VIDEO,cosine_SEM_VIDEO
01-01-01,0.53632,0.706004,0.525298
01-01-02,0.528381,0.458744,0.28259
01-01-03,0.580924,0.476613,0.405836
01-02-01,0.785912,0.471471,0.466233
01-02-02,0.536235,0.428909,0.67201
01-03-01,0.244231,0.287891,0.100989
01-03-02,0.696052,0.666046,0.617991
01-03-03,0.630764,0.672724,0.697631
01-03-04,0.771601,0.608378,0.49907
01-03-05,0.683587,0.64503,0.436157
01-03-06,0.74046,0.492336,0.498996
01-04-01,0.558007,0.786804,0.389245
01-04-02,0.559464,0.699674,0.194062
01-05-01,0.76356,0.63072,0.493071
01-05-02,0.721723,0.582953,0.620752
01-05-03,0.647761,0.594654,0.552559
01-05-04,0.22721,0.22717,0.328729
01-05-05,0.660012,0.43585,0.365813
01-05-06,0.344396,0.454908,0.447862
01-05-07,0.685909,0.60428,0.420079
01-06-01,0.780154,0.550275,0.668466
01-06-02,0.487023,0.548786,0.490794
01-07-01,0.676765,0.452124,0.417582
01-07-02,0.939207,0.649856,0.66024
01-07-03,0.882016,0.409072,0.434251
01-07-04,0.870861,0.59762,0.59243
01-08-01,1,0.376934,0.376934
01-08-02,1,0.373198,0.373198
01-09-01,0.550202,0.321184,0.32838
01-09-02,0.459194,0.451532,0.344618
01-09-03,0.552474,0.344231,0.261532
01-09-04,0.791251,0.290628,0.394199
01-09-05,-1,0.281215,-1
01-09-06,0.558155,0.524555,0.609304
01-10-01,1,0.46706,0.46706
01-10-02,0.782258,0.441394,0.393665
01-10-03,0.70541,0.36162,0.495428
01-10-04,0.784172,0.649913,0.511834
01-10-05,0.449476,0.612816,0.386722
