video,cosine
01-01-01,0.53632
01-01-02,0.528381
01-01-03,0.580924
01-02-01,0.785912
01-02-02,0.536235
01-03-01,0.244231
01-03-02,0.696052
01-03-03,0.630764
01-03-04,0.771601
01-03-05,0.683587
01-03-06,0.74046
01-04-01,0.558007
01-04-02,0.559464
01-05-01,0.76356
01-05-02,0.721723
01-05-03,0.647761
01-05-04,0.22721
01-05-05,0.660012
01-05-06,0.344396
01-05-07,0.685909
01-06-01,0.780154
01-06-02,0.487023
01-07-01,0.676765
01-07-02,0.939207
01-07-03,0.882016
01-07-04,0.870861
01-08-01,1
01-08-02,1
01-09-01,0.550202
01-09-02,0.459194
01-09-03,0.552474
01-09-04,0.791251
01-09-05,-1
01-09-06,0.558155
01-10-01,1
01-10-02,0.782258
01-10-03,0.70541
01-10-04,0.784172
01-10-05,0.449476
