video,cosine
01-01-01,0.706004
01-01-02,0.458744
01-01-03,0.476613
01-02-01,0.471471
01-02-02,0.428909
01-03-01,0.287891
01-03-02,0.666046
01-03-03,0.672724
01-03-04,0.608378
01-03-05,0.64503
01-03-06,0.492336
01-04-01,0.786804
01-04-02,0.699674
01-05-01,0.63072
01-05-02,0.582953
01-05-03,0.594654
01-05-04,0.22717
01-05-05,0.43585
01-05-06,0.454908
01-05-07,0.60428
01-06-01,0.550275
01-06-02,0.548786
01-07-01,0.452124
01-07-02,0.649856
01-07-03,0.409072
01-07-04,0.59762
01-08-01,0.376934
01-08-02,0.373198
01-09-01,0.321184
01-09-02,0.451532
01-09-03,0.344231
01-09-04,0.290628
01-09-05,0.281215
01-09-06,0.524555
01-10-01,0.46706
01-10-02,0.441394
01-10-03,0.36162
01-10-04,0.649913
01-10-05,0.612816
