idFrame,Count
3,7
11,5
12,2
13,6
30,16
40,1
42,1
48,2
49,3
51,2
56,2
57,1
58,17
59,1
60,10
63,1
70,1
72,4
75,1
93,1
94,1
96,4
102,2
105,1
114,1
123,4
125,1
131,4
134,1
136,1
144,1
147,9
148,3
154,2
155,1
156,2
157,21
162,1
169,4
171,10
175,3
176,7
178,2
179,3
183,24
193,2
196,7
206,6
215,1
216,4
226,4
229,1
233,2
234,2
237,6
238,6
239,1
243,1
247,1
252,24
272,4
275,6
276,1
278,22
288,1
299,1
300,1
336,1
337,8
356,1
360,1
374,2
379,2
390,17
392,3
398,13
417,1
456,1
457,1
462,6
479,4
486,4
490,8
491,5
492,7
496,1
500,1
505,2
510,1
524,37
535,1
571,8
610,1
611,8
617,1
621,5
623,4
748,1
756,2
757,1
828,1
840,2
846,1
849,2
858,1
860,1
911,1
917,1
956,8
957,2
983,1
995,1
1000,2
1009,1
1046,1
1077,1
1120,2
1140,1
1184,8
1187,2
1190,2
1191,1
1253,4
1292,1
1338,1
1375,9
1404,1
1414,5
1423,2
1426,1
1427,3
1431,1
