idDocumentSentence1,idDocumentSentence2,cosine,sentence
3126241,5229382,0.852235,"Neste condomínio em Brasília, a separação do lixo já é feita há alguns anos, mas o trabalho de conscientização não é fácil."
4358915,5229398,0.303139,"Ficando atrás de outras categorias como papel, plástico e metal."
3126261,5229391,-1,"Uma das formas é a reciclagem, mas hoje apenas cerca de dois por cento dos resíduos das cidades passam por isso."
3126245,5229384,0.533052,"Em alguns casos, o destino do lixo são as cooperativas de catadores."
4358919,5229400,0.618115,"Sempre tendo que avisar aos moradores, passando, olhando, vendo se eles estão fazendo a separação correta do lixo."
3126265,5229393,-1,"Aqui, nós salvamos o mundo porque a gente cuida de pessoas, a gente cuida da saúde das pessoas,  cuida da saúde do meio ambiente."
3126251,5229386,0.415541,"A gente separa papéis, vidros, metais e plásticos."
4358923,5229402,0.721067,"Inclusive, o vidro é um dos produtos que é infinitamente reciclável e uma tonelada de vidro dá uma tonelada de embalagem nova."
3348678,5229395,0.467272,"Aí, na esteira, cada material vai para um ""bag"" diferente."
3126255,5229388,0.795439,"Em 2022, o país instituiu o sistema de logística reversa de embalagens de vidro."
4358927,5229404,-1,"E a nossa meta é que a gente chegue em quarenta por cento até dois mil e trinta e dois."
3126239,5229381,0.740398,"Pois é, agora esse cenário pode mudar, já que o país tem uma entidade que vai gerenciar."
3348682,5229397,0.296715,"Então a gente tem hoje, o número que a gente estima é de um pouco mais de vinte e cinco por cento de reciclagem do vidro."
3126259,5229390,-1,"A Política Nacional de Resíduos Sólidos de dois mil e dez apontou diretrizes para a melhoria da gestão do lixo:"
4358931,5229406,-1,"E ainda inclui pessoas no processo."
4358917,5229399,0.460891,"Que deve dar mais eficiência a logística reversa e a economia circular do vidro."
3126243,5229383,0.778935,"Aqui a gente tem um trabalho constante, pelo menos há três anos."
3126263,5229392,-1,"Medidas regulatórias, elas tendem a incentivar a reciclagem, né."
3126247,5229385,0.959227,"Chega aqui da forma que está aqui."
4358921,5229401,0.603645,"E as vezes dá um trabalho mesmo, porque a gente tem que fazer constantes avisos."
3348674,5229394,0.655477,"Aí entra  para onde as empilhadeiras estão levando, dali sobe e começa a triagem."
4358925,5229403,0.814761,"Não se perde no processo."
3126253,5229387,0.855898,"Vai mandar para a indústria, a indústria vai processar e vai fazer a embalagem."
3126237,5229380,0.444182,"Com um potencial de reciclagem muito alto, o vidro é um dos materiais secos menos recuperados no Brasil."
3348680,5229396,0.763381,"No total, dá uns noventa tipos diferentes."
3126257,5229389,0.673343,"A gente tem hoje, especificamente para o vidro, uma meta que segue o PLANARIS (Plano Nacional de Resíduos Sólidos)."
4358929,5229405,-1,"Ela preveu o encerramento dos lixões e o reaproveitamento de cerca de cinquenta por cento dos materiais em vinte anos."
