idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229302,5229274,0.518603,"As Ilhas de Grumari fazem parte da área protegida no Parque Natural Municipal da Prainha e de Grumari."
5229318,5229290,1,"E de que as coisas cheguem com mais facilidade à população."
5229311,5229283,0.312425,"A gente só preserva aquilo que a gente conhece."
5229304,5229276,0.525199,"Outra ameaça são as espécies invasoras, entre elas, o ""Coral-Sol"", conhecido como beleza fatal."
5229320,5229292,0.750921,"E  que as pessoas entendam que o que é público tem que ser muito mais cuidado até do que é privado, é nosso isso daqui."
5229297,5229269,0.179452,"Um conjunto de ilhas no litoral da zona oeste do Rio de Janeiro ganhou um importante título internacional pela preservação da biodiversidade."
5229313,5229285,0.59067,"A região também tem o selo bandeira azul, renovado anualmente e que certifica a qualidade da água."
5229306,5229278,0.697801,"Ele chega principalmente por meio de embarcações."
5229322,5229294,0.703982,"Tiveram o estado de preservação certificado pela Maison Blue, uma organização internacional sem fins lucrativos."
5229315,5229287,0.702527,"E a gente está buscando uma parceria com os próprios pescadores, associação de moradores, poder público, iniciativa privada para que a gente possa unir forças e cada vez mais preservar esse ambiente."
5229299,5229271,0.57009,"Elas se unem às cagarras na Praia de ipanema para possuirem o título de ""hope sports"", pontos de esperança."
5229308,5229280,0.786294,"Nós identificamos alguns exemplares, né, algumas poucas colônias do Coral-Sol que pode acabar, né, se multiplicando e se estabilizando nessa área causando os efeitos negativos também para a biodiversidade marinha dessa região."
5229324,5229296,0.918449,"Mas a preservação das ilhas não está totalmente livre de ameaças."
5229301,5229273,0.691676,"Em apenas oito dias a gente conseguiu levantar mais de duzentas espécies."
5229317,5229289,0.760299,"A gente precisa é de mais educação ambiental e de mais informação."
5229310,5229282,0.5225,"Para quem cuida do espaço, a educação ambiental é uma das estratégias para preservar."
5229319,5229291,0.959515,"E que as coisas cheguem com mais facilidade à população."
5229303,5229275,0.738382,"Nós já fizemos uma ação de limpeza lá na Ilha de Palmas."
5229312,5229284,0.924181,"Então a gente encontra espécies de garopas, espécies de cavalo-marinho que a gente consegue detectar aqui com a maior facilidade."
5229305,5229277,0.81048,"O ""Coral-Sol"", que foi encontrado nessas ilhas, é uma espécie nativa dos oceanos Indico e Pacífico."
5229321,5229293,0.727363,"E são agora reconhecidas como pontos de esperança ou ""hope spots""."
5229298,5229270,0.770571,"Palmas e peças, as Ilhas da praia de Grumari, além das três ilhas Tijucas, todas localizadas na zona oeste do Rio."
5229314,5229286,0.912511,"Encontramos muitos resíduos plásticos deixados por visitantes e,  também, lixo encontrado pela maré."
5229307,5229279,0.547709,"O ""Coral-Sol"" ainda se reproduz três vezes mais rápido do que as espécies nativas."
5229323,5229295,0.716614,"E o mais interessante de tudo aqui é que a gente está de frente para um verdadeiro berçário de espécies ameaçadas, né."
5229300,5229272,0.490445,"Os pesquisadores do projeto ""Ihas do Rio"" são os principais responsáveis pelo título, comprovando a biodiversidade das ilhas."
5229316,5229288,0.677828,"É uma ameaça à biodiversidade local porque onde cresce, cresce por cima de outras espécies, inibe a passagem de luz e dificulta a fotossíntese."
5229309,5229281,0.890337,"A presença do Coral-Sol na região é monitorada pelo Instituto Mar Adentro e por universidades."
