idFrame,minimumFE
1485,1
908,2
237,2
469,2
721,3
404,2
827,3
1258,2
1488,2
1220,1
233,1
675,2
144,1
845,5
372,2
612,2
113,2
152,2
164,2
149,2
1496,5
148,3
151,2
163,2
154,2
153,2
557,2
134,2
150,2
1507,5
708,2
191,2
436,2
1605,1
720,3
1192,1
630,3
711,3
504,3
1367,4
491,3
1493,2
94,2
857,1
741,3
892,2
843,2
1474,1
899,3
704,2
867,3
1208,2
458,2
657,2
518,3
696,1
434,2
1184,1
917,2
412,2
1016,2
1427,1
212,4
862,5
490,2
978,3
987,1
980,2
1073,3
109,3
481,3
182,4
48,2
126,3
390,1
1029,2
760,2
1033,2
981,3
423,2
1089,2
360,3
1566,1
203,2
1281,1
1282,1
1341,2
358,3
177,3
393,2
105,2
1368,2
1369,2
842,4
946,3
887,3
973,2
80,4
907,2
459,2
279,2
1141,2
1222,2
1240,2
550,2
485,3
1028,2
249,2
14,2
1437,2
1069,4
1070,2
110,3
1370,3
401,2
929,2
1435,3
280,2
15,2
788,2
641,1
906,1
1337,1
825,2
1371,1
1061,1
1584,1
378,9
685,2
281,2
691,2
767,1
461,1
1540,1
1372,3
643,1
310,1
257,2
1603,1
1490,2
1115,2
817,2
1114,2
815,3
807,3
668,1
475,1
483,2
205,2
558,3
361,2
564,2
586,1
1205,4
1373,2
1042,3
318,1
649,2
304,2
813,2
328,2
634,3
665,3
1151,4
814,2
755,5
1374,7
173,1
1135,2
1050,1
1587,2
1157,1
363,1
1165,2
745,2
273,1
143,2
211,1
362,2
11,1
1375,2
1014,2
1161,3
396,16
301,3
213,6
898,5
740,2
824,2
822,2
1109,3
247,2
216,4
234,2
157,1
169,2
241,2
1154,4
337,1
1067,1
1057,4
206,2
26,2
498,2
951,2
1123,3
196,3
821,2
104,2
1172,2
16,3
1470,3
1,2
195,3
1149,4
1008,3
442,3
353,2
307,2
89,2
798,3
910,2
71,2
480,4
102,2
364,2
49,4
847,3
306,3
9,3
1539,3
309,2
974,5
603,2
283,3
1171,4
520,2
551,2
263,2
383,3
1094,3
466,2
622,2
251,2
956,3
628,3
990,2
351,2
267,2
936,1
1352,3
129,2
1571,1
1127,3
753,2
796,3
444,2
313,1
66,2
308,1
602,1
970,2
464,2
774,2
84,3
1376,0
457,1
799,2
568,2
1137,2
479,1
246,1
1152,2
324,2
1077,2
1377,3
1590,2
430,2
530,3
229,3
123,1
174,1
1378,3
1260,2
17,2
449,1
810,1
387,2
897,2
802,3
392,2
997,1
1379,2
1206,1
454,3
288,1
18,3
22,2
236,3
155,2
188,5
189,3
187,4
162,5
76,4
156,3
159,4
27,3
446,2
1111,2
1613,2
463,3
2,3
32,3
218,4
33,2
36,4
1579,5
531,2
985,1
986,3
332,2
217,2
737,2
683,1
106,2
955,2
1537,0
1538,0
1195,2
1194,4
1146,3
407,2
1569,4
1578,3
921,2
510,1
388,1
900,2
261,3
902,2
72,1
1007,4
1005,4
366,2
1380,3
476,2
714,2
1034,2
1611,2
352,2
806,3
1099,1
688,3
1071,3
243,2
199,2
670,1
320,1
322,2
1602,2
1593,1
50,4
1597,5
1119,2
1516,1
415,2
496,3
758,2
757,2
291,2
1269,2
445,5
408,3
180,10
1246,2
1306,1
44,3
350,2
240,3
934,1
938,1
384,2
344,2
284,1
47,1
1079,4
1078,4
1054,4
335,2
613,3
884,1
560,1
1261,2
766,3
944,2
617,3
1381,3
51,2
1467,3
1465,1
1452,2
429,2
326,1
636,1
338,2
808,2
386,2
640,4
286,2
1056,2
1484,3
19,2
345,2
99,3
1253,1
193,2
1200,2
1329,2
1565,2
1175,1
1600,3
28,2
1272,2
746,2
731,2
242,2
1438,6
1104,1
542,2
1203,2
70,2
838,2
431,4
606,2
399,2
804,2
803,2
805,3
647,1
1092,3
1520,2
588,2
1532,2
875,2
963,3
7,2
