name,#sentences,#distinct_frames,#distinct_fes,avg_frame_sentence,avg_fe_sentence
Reporter_Brasil_02_13,22,71,165,3.2273,7.5000
Reporter_Brasil_02_14,13,71,186,5.4615,14.3077
Reporter_Brasil_03_11,27,77,182,2.8519,6.7407
Reporter_Brasil_03_12,19,47,99,2.4737,5.2105
Reporter_Brasil_04_01,50,114,290,2.2800,5.8000
Reporter_Brasil_04_06,9,34,77,3.7778,8.5556
Reporter_Brasil_05_01,14,54,153,3.8571,10.9286
Reporter_Brasil_05_02,26,80,251,3.0769,9.6538
Reporter_Brasil_05_03,3,12,36,4.0000,12.0000
Reporter_Brasil_07_02,21,97,263,4.6190,12.5238
Reporter_Brasil_07_03,13,80,206,6.1538,15.8462
Reporter_Brasil_07_07,20,78,192,3.9000,9.6000
