name,anno_total,anno_fe_core,%core,anno_ni,%ni,lome_total,lome_fe_core,%core,lomeedt_total,lomeedt_fe_core,%core,lomeedt_ni,%ni
Reporter_Brasil_02_13,248,229,92.3387,129,56.3319,110,92,83.6364,353,338,95.7507,172,50.8876
Reporter_Brasil_02_14,340,309,90.8824,195,63.1068,136,120,88.2353,534,523,97.9401,260,49.7132
Reporter_Brasil_03_11,297,268,90.2357,135,50.3731,114,106,92.9825,397,350,88.1612,192,54.8571
Reporter_Brasil_03_12,214,193,90.1869,122,63.2124,122,111,90.9836,387,358,92.5065,222,62.0112
Reporter_Brasil_04_01,598,578,96.6555,297,51.3841,211,186,88.1517,448,407,90.8482,172,42.2604
Reporter_Brasil_04_06,162,159,98.1481,71,44.6541,35,27,77.1429,147,130,88.4354,84,64.6154
Reporter_Brasil_05_01,232,210,90.5172,153,72.8571,58,49,84.4828,185,173,93.5135,82,47.3988
Reporter_Brasil_05_02,449,447,99.5546,314,70.2461,101,90,89.1089,355,346,97.4648,177,51.1561
Reporter_Brasil_05_03,38,38,100.0000,30,78.9474,117,107,91.4530,293,284,96.9283,132,46.4789
Reporter_Brasil_07_02,452,438,96.9027,190,43.3790,119,108,90.7563,470,465,98.9362,268,57.6344
Reporter_Brasil_07_03,300,294,98.0000,91,30.9524,76,66,86.8421,320,318,99.3750,174,54.7170
Reporter_Brasil_07_07,331,323,97.5831,124,38.3901,94,87,92.5532,368,364,98.9130,243,66.7582
