idDocumentSentence1,idDocumentSentence2,cosine
3350609,5229763,1
3350611,5229764,1
3350613,5229765,1
3350617,5229766,1
3350619,5229767,1
3350625,5229768,1
3350629,5229769,1
3350631,5229770,1
3350633,5229771,1
3350635,5229772,1
3350637,5229773,1
3350639,5229774,1
3350641,5229775,1
3350643,5229776,1
3350647,5229777,1
3350649,5229778,1
3350650,5229779,1
3350652,5229780,1
3350654,5229781,1
3350656,5229782,1
3350658,5229783,1
3350660,5229784,1
3350662,5229785,1
3350664,5229786,1
3350666,5229787,1
3350668,5229788,1
4359043,5229789,1
4359045,5229790,1
4359047,5229791,1
4359049,5229792,1
4359051,5229793,1
4359053,5229794,-1
4359055,5229795,1
4359057,5229796,1
4359059,5229797,1
