idDocumentSentence1,idDocumentSentence2,cosine,sentence
4344397,5229842,-1,"Caiu meio por cento em abril."
3113815,5229835,0.510836,"Dessa vez,  o setor extrativista pesou negativamente, com queda de três vírgula quatro por cento no mês."
3113819,5229837,0.211111,"Já produtos de maior valor agregado, apresentaram alta na produção como máquinas e equipamentos usados em indústrias."
3113823,5229839,-1,"Apesar da queda recente, a produção industrial no Brasil ainda sobe três e meio por cento neste ano."
4344395,5229841,0.699543,"A produção industrial nacional caiu meio por cento em abril."
3113813,5229834,0.504979,"Os dados do IBGE divulgados hoje mostram que a produção industrial caiu em Abril depois de dois meses seguidos de alta."
3113817,5229836,0.172794,"Dentro desses seguimentos estão grandes empresas, como a Vale e a Petrobrás, que têm  o minério e o petróleo como matéria-prima."
3113821,5229838,-1,"A produção de carros e caminhões foi a que mais cresceu em Abril, com alta de mais de treze por cento."
3113825,5229840,-1,"Em comparação com o mesmo período do ano passado."
3113811,5229833,0.837741,"Houve queda significativa nas produções de minério de ferro e de petróleo no mês."
