idFrameElement,idEntity,frameName,feName,reason,availableProperties
14072,2747372,Action,Constitution,"No matching property found","hasParticipant, executesTask, isActionIncludedIn"
14073,2747373,Action,Parthood,"No matching property found","hasParticipant, executesTask, isActionIncludedIn"
14076,2747376,Action,Temporal_interval,"No matching property found","hasParticipant, executesTask, isActionIncludedIn"
14080,2747380,Agent,Classification,"No matching property found","actsFor, conceptualizes, isAgentIncludedIn, isAgentInvolvedIn"
14077,2747377,Agent,Constitution,"No matching property found","actsFor, conceptualizes, isAgentIncludedIn, isAgentInvolvedIn"
14078,2747378,Agent,Location,"No matching property found","actsFor, conceptualizes, isAgentIncludedIn, isAgentInvolvedIn"
14079,2747379,Agent,Parthood,"No matching property found","actsFor, conceptualizes, isAgentIncludedIn, isAgentInvolvedIn"
14081,2747381,Agent,Participation,"No matching property found","actsFor, conceptualizes, isAgentIncludedIn, isAgentInvolvedIn"
14082,2747382,Amount,Constitution,"No matching property found",
14084,2747384,Amount,Overlap,"No matching property found",
14083,2747383,Amount,Parthood,"No matching property found",
14085,2747385,Amount,Sequence,"No matching property found",
14090,2747390,"Biological object",Classification,"Class not found in ontology",
14086,2747386,"Biological object",Constitution,"Class not found in ontology",
14087,2747387,"Biological object",Location,"Class not found in ontology",
14088,2747388,"Biological object",Parthood,"Class not found in ontology",
14089,2747389,"Biological object",Parthood,"Class not found in ontology",
14091,2747391,"Biological object",Participation,"Class not found in ontology",
14096,2747396,"Chemical object",Classification,"Class not found in ontology",
14092,2747392,"Chemical object",Constitution,"Class not found in ontology",
14093,2747393,"Chemical object",Location,"Class not found in ontology",
14094,2747394,"Chemical object",Parthood,"Class not found in ontology",
14095,2747395,"Chemical object",Parthood,"Class not found in ontology",
14097,2747397,"Chemical object",Participation,"Class not found in ontology",
14106,2747406,Collection,Classification,"No matching property found","hasPart, hasMember, isCharacterizedBy, isCoveredBy, isUnifiedBy"
14101,2747401,Collection,Constitution,"No matching property found","hasPart, hasMember, isCharacterizedBy, isCoveredBy, isUnifiedBy"
14107,2747407,Collection,Expression,"No matching property found","hasPart, hasMember, isCharacterizedBy, isCoveredBy, isUnifiedBy"
14102,2747402,Collection,Location,"No matching property found","hasPart, hasMember, isCharacterizedBy, isCoveredBy, isUnifiedBy"
14108,2747408,Collection,Participation,"No matching property found","hasPart, hasMember, isCharacterizedBy, isCoveredBy, isUnifiedBy"
14115,2747415,Collective,Classification,"No matching property found",hasMember
14109,2747409,Collective,Constitution,"No matching property found",hasMember
14116,2747416,Collective,Expression,"No matching property found",hasMember
14110,2747410,Collective,Location,"No matching property found",hasMember
14112,2747412,Collective,Parthood,"No matching property found",hasMember
14113,2747413,Collective,Parthood,"No matching property found",hasMember
14114,2747414,Collective,Parthood,"No matching property found",hasMember
14117,2747417,Collective,Participation,"No matching property found",hasMember
14124,2747424,"Collective agent",Classification,"Class not found in ontology",
14120,2747420,"Collective agent",Constitution,"Class not found in ontology",
14125,2747425,"Collective agent",Expression,"Class not found in ontology",
14126,2747426,"Collective agent",Introduction,"Class not found in ontology",
14121,2747421,"Collective agent",Location,"Class not found in ontology",
14122,2747422,"Collective agent",Parthood,"Class not found in ontology",
14123,2747423,"Collective agent",Parthood,"Class not found in ontology",
14127,2747427,"Collective agent",Participation,"Class not found in ontology",
14118,2747418,"Collective agent",Proxy_agency,"Class not found in ontology",
14119,2747419,"Collective agent",Proxy_agency,"Class not found in ontology",
14134,2747434,Community,Classification,"No matching property found",
14130,2747430,Community,Constitution,"No matching property found",
14135,2747435,Community,Expression,"No matching property found",
14136,2747436,Community,Introduction,"No matching property found",
14131,2747431,Community,Location,"No matching property found",
14132,2747432,Community,Parthood,"No matching property found",
14133,2747433,Community,Parthood,"No matching property found",
14137,2747437,Community,Participation,"No matching property found",
14128,2747428,Community,Proxy_agency,"No matching property found",
14129,2747429,Community,Proxy_agency,"No matching property found",
14138,2747438,Concept,Constitution,"No matching property found","isDefinedIn, hasPart, characterizes, classifies, covers, hasParameter, isConceptExpressedBy, isConceptUsedIn, isRelatedToConcept, isSubordinatedTo, isSuperordinatedTo"
14145,2747445,Concept,Expression,"No matching property found","isDefinedIn, hasPart, characterizes, classifies, covers, hasParameter, isConceptExpressedBy, isConceptUsedIn, isRelatedToConcept, isSubordinatedTo, isSuperordinatedTo"
14139,2747439,Concept,Location,"No matching property found","isDefinedIn, hasPart, characterizes, classifies, covers, hasParameter, isConceptExpressedBy, isConceptUsedIn, isRelatedToConcept, isSubordinatedTo, isSuperordinatedTo"
14146,2747446,Concept,Participation,"No matching property found","isDefinedIn, hasPart, characterizes, classifies, covers, hasParameter, isConceptExpressedBy, isConceptUsedIn, isRelatedToConcept, isSubordinatedTo, isSuperordinatedTo"
14152,2747452,Configuration,Classification,"No matching property found",
14147,2747447,Configuration,Constitution,"No matching property found",
14153,2747453,Configuration,Expression,"No matching property found",
14148,2747448,Configuration,Location,"No matching property found",
14149,2747449,Configuration,Parthood,"No matching property found",
14150,2747450,Configuration,Parthood,"No matching property found",
14151,2747451,Configuration,Parthood,"No matching property found",
14154,2747454,Configuration,Participation,"No matching property found",
14159,2747459,Contract,Classification,"No matching property found",
14155,2747455,Contract,Constitution,"No matching property found",
14160,2747460,Contract,Expression,"No matching property found",
14156,2747456,Contract,Location,"No matching property found",
14157,2747457,Contract,Parthood,"No matching property found",
14158,2747458,Contract,Parthood,"No matching property found",
14161,2747461,Contract,Participation,"No matching property found",
14166,2747466,Description,Classification,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14162,2747462,Description,Constitution,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14167,2747467,Description,Expression,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14163,2747463,Description,Location,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14164,2747464,Description,Parthood,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14165,2747465,Description,Parthood,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14168,2747468,Description,Participation,"No matching property found","defines, definesRole, definesTask, describes, expands, introduces, isExpandedIn, isRelatedToDescription, isSatisfiedBy, unifies, usesConcept"
14173,2747473,Design,Classification,"No matching property found",
14169,2747469,Design,Constitution,"No matching property found",
